"id","date","day","favorites","retweets","title","url","author","score"
"599070488149643264",2015-05-15,"Friday",11,3,"GeoJSON Hexagonal “Statebins” in R","http://t.co/lR7DRMoAi6","hrbrmstr",17
"599110778122186752",2015-05-15,"Friday",10,8,"Getting started with MongoDB in R","http://t.co/P6KKoGhgE9","Jeroen Ooms",26
"599066732070744064",2015-05-15,"Friday",6,4,"A first look at htmlwidgets","http://t.co/u9451XnnBz","Joseph Rickert",14
"598667843127758848",2015-05-14,"Thursday",4,4,"Bertrand or (The Importance of Defining Problems Properly)","http://t.co/HLFvErpuX8","aschinchon",12
"598958510815125504",2015-05-14,"Thursday",17,7,"Reinventing the wheel for ordination biplots with ggplot2","http://t.co/RJDNPEF781","beckmw",31
"598651483421192192",2015-05-14,"Thursday",17,7,"streaming machine learning with RMOA: stream_in &gt; train &gt; predict","http://t.co/y0j254q1Td","BNOSAC - Belgium Netwo...",31
"598660312707936257",2015-05-14,"Thursday",22,12,"Survival analysis: basic terms, the exponential model, censoring, examples in R and JAGS","http://t.co/tyxDUS9FfW","Petr Keil",46
"598436352380645376",2015-05-13,"Wednesday",16,6,"Copulas and Financial Time Series","http://t.co/seBywEm5Fs","arthur charpentier",28
"598310608979693569",2015-05-13,"Wednesday",5,3,"OpenMP, OS-X and R","http://t.co/V4zQOF41Qd","bhejbiostat",11
"598577294899224576",2015-05-13,"Wednesday",3,0,"Advertising a Few Systematic ETFs (Strictly Of My Own Volition)","http://t.co/BGnSL3ASFA","Ilya Kipnis",3
"598587347253362689",2015-05-13,"Wednesday",36,8,"Data Science - Short lesson on cluster analysis","http://t.co/95N6wQ0G3T","Pablo C.",52
"598324338920566784",2015-05-13,"Wednesday",3,1,"Hadley Wickham Master R Developer Workshop in Chicago – Space Limited","http://t.co/HmgRYODFZk","tareefkawaf",5
"598375908848762880",2015-05-13,"Wednesday",2,0,"the Flatland paradox","http://t.co/Ddb3pI4NuK","xi'an",2
"598169541533773825",2015-05-12,"Tuesday",59,54,"Choosing R or Python for data analysis? An infographic","http://t.co/UZJivJbsw2","DataCamp",167
"598065155650392064",2015-05-12,"Tuesday",9,1,"What data science software tools do you use?","http://t.co/kfGhb2y2rp","David Smith",11
"598165799396737024",2015-05-12,"Tuesday",13,2,"Git pushing Shiny Apps with Docker &amp; Dokku","http://t.co/ICJAWiqhJI","Flavio Barros",17
"598014778129326080",2015-05-12,"Tuesday",4,4,"Scaling R clusters? AWS Spot Pricing is your new best friend","http://t.co/adPeeGOi8T","Gord Sissons",12
"597926715764015104",2015-05-12,"Tuesday",4,3,"devtools 1.8.0","http://t.co/p33FxqsLzs","hadleywickham",10
"598243801598066690",2015-05-12,"Tuesday",12,10,"Using Azure as an R data source, Part 1","http://t.co/MBiCEOUMrp","Joseph Rickert",32
"598169570533183489",2015-05-12,"Tuesday",3,1,"The 2015 Strata + Hadoop World London","http://t.co/zpIBgjmKCw","Mango Solutions",5
"598247578254200833",2015-05-12,"Tuesday",2,1,"Ninth Torino R net meeting and free modelling areal data tutorial","http://t.co/tSereBLMvS","TorinoR.net »",4
"598247599234121728",2015-05-12,"Tuesday",4,0,"Presentations of the eighth Torino R net meeting are online","http://t.co/KiGwFheaur","TorinoR.net »",4
"598243821688750083",2015-05-12,"Tuesday",10,19,"terrible graph of the day","http://t.co/mXMVo5y16k","xi'an",48
